time; o; d; v;
0.000000; 1.000000; 0.841043; 0.000000;
0.080000; 1.000000; 0.779044; 0.020739;
0.160000; 1.000000; 0.779504; 0.021005;
0.240000; 1.000000; 0.779966; 0.021011;
0.320000; 1.000000; 0.780427; 0.021009;
0.400000; 1.000000; 0.780889; 0.021010;
0.480000; 1.000000; 0.781350; 0.021009;
0.560000; 1.000000; 0.781811; 0.020996;
0.640000; 1.000000; 0.782272; 0.020995;
0.720000; 1.000000; 0.782733; 0.020993;
0.800000; 1.000000; 0.783194; 0.021001;
0.880000; 1.000000; 0.783655; 0.021002;
0.960000; 1.000000; 0.784116; 0.020999;
1.040000; 1.000000; 0.784577; 0.020995;
1.120000; 1.000000; 0.785037; 0.020986;
1.200000; 1.000000; 0.785498; 0.020985;
1.280000; 1.000000; 0.785958; 0.020993;
1.360000; 1.000000; 0.786419; 0.020994;
1.440000; 1.000000; 0.786879; 0.020990;
1.520000; 1.000000; 0.787339; 0.020981;
1.600000; 1.000000; 0.787799; 0.020977;
1.680000; 1.000000; 0.788259; 0.020976;
1.760000; 1.000000; 0.788719; 0.020986;
1.840000; 1.000000; 0.789178; 0.020985;
1.920000; 1.000000; 0.789638; 0.020981;
2.000000; 1.000000; 0.790097; 0.020979;
2.080000; 1.000000; 0.790556; 0.020968;
2.160000; 1.000000; 0.791015; 0.020964;
2.240000; 1.000000; 0.791474; 0.020977;
2.320000; 1.000000; 0.791933; 0.020975;
2.400000; 1.000000; 0.792392; 0.020973;
2.480000; 1.000000; 0.792850; 0.020967;
2.560000; 1.000000; 0.793308; 0.020958;
2.640000; 1.000000; 0.793766; 0.020957;
2.720000; 1.000000; 0.794224; 0.020962;
2.800000; 1.000000; 0.794682; 0.020963;
2.880000; 1.000000; 0.795140; 0.020963;
2.960000; 1.000000; 0.795597; 0.020959;
3.040000; 1.000000; 0.796054; 0.020950;
3.120000; 1.000000; 0.796511; 0.020948;
3.200000; 1.000000; 0.796968; 0.020949;
3.280000; 1.000000; 0.797424; 0.020954;
3.360000; 1.000000; 0.797881; 0.020952;
3.440000; 1.000000; 0.798337; 0.020948;
3.520000; 1.000000; 0.798792; 0.020937;
3.600000; 1.000000; 0.799248; 0.020937;
3.680000; 1.000000; 0.799704; 0.020942;
3.760000; 1.000000; 0.800159; 0.020940;
3.840000; 1.000000; 0.800614; 0.020941;
3.920000; 1.000000; 0.801069; 0.020936;
4.000000; 1.000000; 0.801523; 0.020930;
4.080000; 1.000000; 0.801977; 0.020925;
4.160000; 0.999715; 0.802468; 0.020346;
4.240000; 0.998630; 0.802961; 0.019956;
4.320000; 0.992485; 0.803513; 0.019009;
4.400000; 0.989101; 0.804007; 0.019835;
4.480000; 0.989124; 0.804377; 0.020687;
4.560000; 0.989137; 0.804745; 0.020684;
4.640000; 0.989141; 0.805108; 0.020691;
4.720000; 0.989141; 0.805465; 0.020689;
4.800000; 0.989141; 0.805815; 0.020690;
4.880000; 0.989141; 0.806159; 0.020686;
4.960000; 0.989141; 0.806497; 0.020677;
5.040000; 0.989141; 0.806829; 0.020675;
5.120000; 0.989154; 0.807154; 0.020666;
5.200000; 0.989724; 0.807485; 0.020501;
5.280000; 0.991180; 0.807828; 0.020478;
5.360000; 0.993087; 0.808186; 0.020404;
5.440000; 0.993770; 0.808526; 0.020551;
5.520000; 0.994936; 0.808880; 0.020504;
5.600000; 0.996413; 0.809253; 0.020368;
5.680000; 0.997776; 0.809646; 0.020345;
5.760000; 0.998359; 0.810039; 0.020602;
5.840000; 0.998537; 0.810429; 0.020852;
5.920000; 0.998683; 0.810825; 0.020572;
6.000000; 0.998784; 0.811235; 0.020571;
6.080000; 0.998711; 0.811655; 0.020497;
6.160000; 0.998392; 0.812091; 0.020569;
6.240000; 0.997937; 0.812537; 0.020568;
6.320000; 0.997719; 0.812987; 0.020759;
6.400000; 0.997723; 0.813434; 0.020817;
6.480000; 0.997726; 0.813881; 0.020809;
6.560000; 0.997727; 0.814327; 0.020812;
6.640000; 0.997727; 0.814771; 0.020809;
6.720000; 0.997721; 0.815214; 0.020762;
6.800000; 0.997698; 0.815648; 0.020786;
6.880000; 0.997685; 0.816082; 0.020770;
6.960000; 0.997375; 0.816432; 0.017047;
7.040000; 0.989431; 0.816531; 0.016504;
7.120000; 0.968994; 0.816607; 0.016305;
7.200000; 0.934534; 0.816668; 0.016630;
7.280000; 0.886127; 0.816713; 0.016251;
7.360000; 0.879730; 0.816741; 0.016306;
7.440000; 0.835873; 0.816819; 0.016232;
7.520000; 0.794378; 0.816885; 0.015860;
7.600000; 0.780865; 0.816920; 0.016428;
7.680000; 0.781224; 0.816979; 0.014882;
7.760000; 0.782254; 0.817042; 0.016602;
7.840000; 0.782143; 0.817072; 0.016606;
7.920000; 0.783263; 0.817065; 0.016325;
8.000000; 0.784840; 0.817039; 0.016600;
8.080000; 0.784833; 0.816988; 0.016600;
8.160000; 0.786086; 0.816923; 0.016600;
8.240000; 0.786770; 0.816839; 0.016595;
8.320000; 0.788146; 0.816737; 0.016593;
8.400000; 0.789163; 0.816615; 0.016591;
8.480000; 0.789627; 0.816473; 0.016586;
8.560000; 0.790577; 0.816312; 0.016589;
8.640000; 0.778676; 0.816130; 0.016582;
8.720000; 0.760870; 0.815928; 0.016584;
8.800000; 0.768254; 0.815986; 0.016463;
8.880000; 0.768624; 0.815759; 0.016562;
8.960000; 0.767142; 0.815494; 0.016567;
9.040000; 0.769157; 0.815212; 0.016569;
9.120000; 0.768153; 0.814909; 0.016571;
9.200000; 0.768938; 0.814587; 0.016568;
9.280000; 0.770415; 0.814243; 0.016566;
9.360000; 0.768634; 0.813879; 0.016556;
9.440000; 0.770153; 0.813495; 0.016556;
9.520000; 0.770429; 0.813092; 0.016556;
9.600000; 0.769526; 0.812668; 0.016553;
9.680000; 0.771550; 0.812225; 0.016553;
9.760000; 0.770650; 0.811763; 0.016547;
9.840000; 0.771661; 0.811281; 0.016540;
9.920000; 0.773244; 0.810780; 0.016538;
10.000000; 0.771795; 0.810261; 0.016539;
10.080000; 0.773421; 0.809723; 0.016539;
10.160000; 0.773767; 0.809167; 0.016535;
10.240000; 0.773533; 0.808592; 0.016529;
10.320000; 0.775567; 0.808000; 0.016524;
10.400000; 0.774992; 0.807391; 0.016524;
10.480000; 0.776262; 0.806763; 0.016521;
10.560000; 0.778110; 0.806120; 0.016518;
10.640000; 0.777353; 0.805459; 0.016519;
10.720000; 0.779041; 0.804782; 0.016511;
10.800000; 0.779491; 0.804089; 0.016505;
10.880000; 0.780275; 0.803381; 0.016506;
10.960000; 0.782034; 0.802662; 0.016356;
11.040000; 0.778790; 0.801992; 0.014985;
11.120000; 0.778694; 0.801298; 0.016395;
11.200000; 0.780995; 0.800773; 0.015111;
11.280000; 0.780610; 0.800263; 0.014428;
11.360000; 0.779888; 0.799947; 0.012568;
11.440000; 0.779669; 0.799473; 0.015003;
11.520000; 0.778498; 0.798905; 0.014688;
11.600000; 0.786603; 0.798497; 0.014474;
11.680000; 0.786366; 0.797723; 0.016034;
11.760000; 0.728125; 0.797038; 0.014146;
11.840000; 0.779706; 0.796384; 0.015962;
11.920000; 0.780832; 0.795942; 0.014038;
12.000000; 0.737997; 0.795300; 0.016186;
12.080000; 0.776638; 0.794559; 0.016185;
12.160000; 0.782779; 0.793845; 0.014729;
12.240000; 0.758191; 0.793042; 0.016028;
12.320000; 0.768218; 0.792249; 0.015465;
12.400000; 0.729496; 0.791408; 0.016231;
12.480000; 0.771233; 0.790502; 0.016208;
12.560000; 0.755765; 0.789646; 0.015530;
12.640000; 0.744674; 0.788739; 0.016203;
12.720000; 0.784808; 0.787854; 0.016029;
12.800000; 0.744227; 0.786945; 0.016079;
12.880000; 0.761086; 0.786023; 0.015274;
12.960000; 0.772173; 0.785221; 0.013594;
13.040000; 0.727917; 0.784411; 0.015839;
13.120000; 0.760319; 0.783802; 0.013470;
13.200000; 0.736042; 0.783022; 0.015293;
13.280000; 0.720533; 0.782178; 0.015001;
13.360000; 0.751312; 0.781345; 0.014573;
13.440000; 0.698365; 0.780530; 0.014586;
13.520000; 0.708372; 0.779777; 0.015098;
13.600000; 0.720266; 0.779061; 0.015104;
13.680000; 0.681882; 0.778323; 0.015108;
13.760000; 0.742559; 0.777434; 0.013855;
13.840000; 0.729334; 0.776525; 0.015527;
13.920000; 0.715606; 0.775611; 0.015058;
14.000000; 0.754486; 0.774705; 0.015442;
14.080000; 0.707191; 0.773782; 0.015250;
14.160000; 0.724417; 0.772884; 0.015306;
14.240000; 0.736264; 0.771967; 0.015309;
14.320000; 0.698103; 0.771031; 0.015306;
14.400000; 0.749957; 0.770049; 0.013882;
14.480000; 0.743458; 0.768999; 0.014702;
14.560000; 0.733234; 0.767900; 0.015668;
14.640000; 0.773252; 0.766790; 0.015663;
14.720000; 0.732941; 0.765666; 0.015664;
14.800000; 0.751020; 0.764528; 0.015665;
14.880000; 0.762379; 0.763377; 0.015662;
14.960000; 0.724777; 0.762213; 0.015660;
15.040000; 0.768625; 0.761037; 0.015660;
15.120000; 0.751748; 0.759848; 0.015657;
15.200000; 0.745566; 0.758718; 0.014156;
15.280000; 0.737591; 0.757846; 0.014852;
15.360000; 0.756448; 0.756911; 0.013904;
15.440000; 0.778852; 0.756018; 0.014081;
15.520000; 0.748676; 0.754939; 0.016031;
15.600000; 0.749594; 0.753855; 0.016001;
15.680000; 0.797094; 0.752762; 0.016036;
15.760000; 0.753484; 0.751662; 0.015815;
15.840000; 0.754514; 0.750550; 0.015968;
15.920000; 0.754612; 0.749416; 0.016061;
16.000000; 0.754214; 0.748274; 0.016020;
16.080000; 0.756715; 0.747129; 0.015969;
16.160000; 0.755810; 0.745974; 0.016032;
16.240000; 0.757596; 0.744805; 0.016074;
16.320000; 0.758676; 0.743625; 0.016090;
16.400000; 0.757128; 0.742441; 0.016153;
16.480000; 0.759226; 0.741259; 0.015989;
16.560000; 0.759408; 0.740073; 0.016055;
16.640000; 0.760198; 0.738897; 0.015989;
16.720000; 0.763120; 0.737714; 0.016054;
16.800000; 0.762293; 0.736516; 0.016195;
16.880000; 0.763948; 0.735308; 0.016195;
16.960000; 0.765092; 0.734100; 0.016176;
17.040000; 0.763935; 0.732894; 0.016150;
17.120000; 0.765828; 0.731684; 0.016196;
17.200000; 0.766027; 0.730481; 0.016162;
17.280000; 0.769347; 0.729378; 0.015549;
17.360000; 0.772957; 0.728270; 0.015576;
17.440000; 0.772773; 0.727152; 0.015685;
17.520000; 0.774556; 0.726017; 0.015821;
17.600000; 0.776183; 0.724843; 0.016254;
17.680000; 0.775484; 0.723674; 0.016010;
17.760000; 0.777297; 0.722515; 0.016142;
17.840000; 0.777482; 0.721339; 0.016263;
17.920000; 0.778518; 0.720164; 0.016239;
18.000000; 0.780354; 0.718988; 0.016250;
18.080000; 0.780156; 0.717812; 0.016248;
18.160000; 0.781911; 0.716637; 0.016243;
18.240000; 0.783831; 0.715464; 0.016236;
18.320000; 0.783945; 0.714306; 0.015880;
18.400000; 0.785029; 0.713170; 0.015982;
18.480000; 0.785209; 0.712038; 0.015969;
18.560000; 0.786246; 0.710917; 0.015926;
18.640000; 0.786278; 0.709807; 0.015803;
18.720000; 0.785686; 0.708697; 0.016070;
18.800000; 0.786433; 0.707582; 0.016074;
18.880000; 0.774391; 0.706463; 0.016119;
18.960000; 0.756251; 0.705344; 0.016111;
19.040000; 0.786274; 0.704226; 0.016104;
19.120000; 0.788755; 0.703108; 0.016097;
19.200000; 0.745235; 0.701990; 0.016090;
19.280000; 0.761165; 0.700873; 0.016083;
19.360000; 0.772822; 0.699757; 0.016075;
19.440000; 0.734624; 0.698641; 0.016069;
19.520000; 0.775597; 0.697526; 0.016060;
19.600000; 0.759944; 0.696412; 0.016052;
19.680000; 0.748724; 0.695298; 0.016045;
19.760000; 0.788044; 0.694186; 0.016038;
19.840000; 0.747180; 0.693073; 0.016030;
19.920000; 0.763076; 0.691962; 0.016018;
20.000000; 0.774778; 0.690852; 0.016013;
20.080000; 0.736718; 0.689746; 0.015947;
20.160000; 0.778393; 0.688644; 0.015891;
20.240000; 0.763205; 0.687546; 0.015798;
20.320000; 0.752346; 0.686438; 0.016008;
20.400000; 0.791849; 0.685324; 0.015996;
20.480000; 0.750964; 0.684212; 0.015988;
20.560000; 0.767350; 0.683121; 0.015527;
20.640000; 0.779409; 0.682049; 0.015626;
20.720000; 0.741740; 0.680966; 0.015672;
20.800000; 0.784067; 0.679878; 0.015576;
20.880000; 0.770561; 0.678947; 0.012042;
20.960000; 0.757898; 0.678145; 0.012370;
21.040000; 0.786984; 0.677406; 0.012372;
21.120000; 0.722492; 0.676540; 0.013227;
21.200000; 0.719933; 0.675702; 0.011224;
21.280000; 0.733835; 0.674900; 0.013283;
21.360000; 0.691052; 0.674277; 0.010374;
21.440000; 0.730326; 0.673396; 0.012200;
21.520000; 0.713298; 0.672554; 0.012788;
21.600000; 0.691028; 0.671700; 0.012198;
21.680000; 0.734376; 0.671181; 0.007753;
21.760000; 0.700676; 0.670599; 0.008728;
21.840000; 0.722350; 0.669894; 0.008664;
21.920000; 0.727518; 0.669154; 0.010748;
22.000000; 0.683772; 0.668568; 0.008861;
22.080000; 0.718162; 0.667962; 0.010059;
22.160000; 0.697399; 0.667214; 0.011962;
22.240000; 0.698699; 0.666417; 0.013590;
22.320000; 0.730527; 0.665780; 0.011159;
22.400000; 0.704446; 0.665451; 0.008975;
22.480000; 0.731735; 0.665364; 0.008267;
22.560000; 0.730966; 0.664987; 0.009886;
22.640000; 0.682758; 0.664745; 0.009089;
22.720000; 0.688790; 0.664558; 0.009162;
22.800000; 0.653469; 0.664452; 0.008708;
22.880000; 0.644502; 0.663975; 0.010843;
22.960000; 0.690865; 0.663744; 0.007344;
23.040000; 0.639984; 0.663648; 0.006028;
23.120000; 0.626856; 0.663250; 0.010331;
23.200000; 0.652554; 0.662791; 0.010350;
23.280000; 0.644679; 0.662210; 0.012469;
23.360000; 0.630854; 0.661618; 0.011420;
23.440000; 0.690390; 0.661211; 0.009036;
23.520000; 0.690170; 0.660971; 0.009519;
23.600000; 0.637105; 0.660646; 0.009957;
23.680000; 0.658867; 0.660157; 0.010570;
23.760000; 0.654514; 0.659672; 0.011400;
23.840000; 0.643613; 0.659103; 0.011037;
23.920000; 0.670644; 0.658514; 0.012269;
24.000000; 0.647857; 0.657829; 0.012721;
24.080000; 0.653393; 0.657167; 0.011343;
24.160000; 0.662827; 0.656447; 0.014012;
24.240000; 0.637272; 0.655743; 0.012700;
24.320000; 0.659079; 0.655019; 0.012350;
24.400000; 0.655822; 0.654370; 0.012621;
24.480000; 0.649142; 0.653678; 0.009548;
24.560000; 0.680229; 0.653003; 0.008363;
24.640000; 0.705886; 0.652351; 0.011770;
24.720000; 0.672116; 0.651789; 0.011883;
24.800000; 0.678626; 0.651338; 0.011667;
24.880000; 0.650897; 0.650722; 0.011746;
24.960000; 0.667096; 0.650154; 0.011460;
25.040000; 0.656627; 0.649798; 0.013125;
25.120000; 0.648472; 0.649535; 0.013196;
25.200000; 0.672895; 0.649261; 0.013214;
25.280000; 0.651211; 0.648958; 0.013324;
25.360000; 0.658822; 0.648642; 0.013348;
25.440000; 0.667670; 0.648315; 0.013354;
25.520000; 0.644978; 0.647977; 0.013377;
25.600000; 0.669073; 0.647627; 0.013385;
25.680000; 0.662702; 0.647265; 0.013396;
25.760000; 0.655280; 0.646891; 0.013397;
25.840000; 0.674756; 0.646567; 0.012115;
25.920000; 0.646118; 0.646302; 0.011848;
26.000000; 0.647727; 0.646034; 0.012904;
26.080000; 0.653945; 0.645750; 0.012896;
26.160000; 0.631215; 0.645550; 0.011074;
26.240000; 0.649553; 0.645260; 0.011610;
26.320000; 0.622361; 0.644993; 0.012079;
26.400000; 0.627694; 0.644710; 0.011846;
26.480000; 0.655748; 0.644497; 0.011522;
26.560000; 0.626554; 0.644178; 0.012167;
26.640000; 0.616916; 0.643792; 0.012947;
26.720000; 0.614727; 0.643354; 0.013131;
26.800000; 0.626652; 0.642901; 0.013147;
26.880000; 0.613670; 0.642434; 0.013160;
26.960000; 0.619690; 0.641954; 0.013170;
27.040000; 0.622447; 0.641460; 0.013184;
27.120000; 0.611372; 0.640954; 0.013196;
27.200000; 0.631957; 0.640590; 0.009364;
27.280000; 0.615190; 0.640469; 0.005656;
27.360000; 0.607688; 0.640307; 0.009161;
27.440000; 0.611119; 0.640081; 0.011992;
27.520000; 0.597862; 0.639642; 0.012760;
27.600000; 0.600341; 0.639263; 0.012487;
27.680000; 0.605872; 0.638821; 0.012680;
27.760000; 0.596180; 0.638342; 0.012861;
27.840000; 0.609828; 0.637836; 0.013004;
27.920000; 0.603788; 0.637317; 0.013043;
28.000000; 0.601583; 0.636788; 0.013138;
28.080000; 0.613301; 0.636247; 0.010784;
28.160000; 0.600805; 0.635694; 0.013166;
28.240000; 0.607142; 0.635131; 0.013077;
28.320000; 0.609751; 0.634558; 0.013062;
28.400000; 0.599843; 0.633973; 0.012597;
28.480000; 0.617002; 0.633363; 0.012181;
28.560000; 0.598817; 0.632953; 0.011734;
28.640000; 0.575817; 0.632723; 0.009813;
28.720000; 0.606455; 0.632660; 0.008531;
28.800000; 0.588280; 0.632387; 0.008643;
28.880000; 0.590182; 0.632273; 0.006813;
28.960000; 0.589290; 0.632013; 0.010040;
29.040000; 0.594436; 0.631788; 0.008676;
29.120000; 0.611365; 0.631575; 0.009141;
29.200000; 0.602620; 0.631412; 0.009666;
29.280000; 0.604517; 0.631143; 0.007094;
29.360000; 0.620606; 0.630926; 0.007883;
29.440000; 0.605024; 0.630546; 0.009380;
29.520000; 0.603863; 0.630250; 0.009642;
29.600000; 0.593993; 0.629885; 0.009624;
